id;type;age;countryISO;allTimeLevelsPlayed;currentMaxLevel;currentTotalPoints;gender;latestLevelPlayed
2c61bb61-0b77-45f4-a33f-6145fa7d7b80;sortingGameUserMetrics;29;ES;6;5;1216;male;
f414aab4-db14-48bd-a961-1780b2ea3b65;sortingGameUserMetrics;15;ES;31;26;8598;female;
6e408c6b-cf56-4be0-8170-ace9aebef74a;sortingGameUserMetrics;15;GR;3;3;350;female;
803e4206-93bc-480b-8747-e22199891050;sortingGameUserMetrics;2;IT;5;5;716;female;
6a524d2c-b30f-41c8-b638-0f0083feabff;sortingGameUserMetrics;40;GR;2;2;201;male;
6a7a686f-61d1-426f-80de-14b67162f9d9;sortingGameUserMetrics;52;IT;6;5;1189;female;
4bdf0d48-d775-42b1-98f7-84f70b0a6b3a;sortingGameUserMetrics;27;IT;6;5;1087;female;
cc59c089-ae02-45e1-b2eb-edf59eafaf45;sortingGameUserMetrics;45;IT;1;1;94;female;
0b473be6-fd35-4e59-a206-0e187f040347;sortingGameUserMetrics;12;ES;8;2;38;female;2
3cf7bb1c-a41d-4ac6-9f40-bbede240a5af;sortingGameUserMetrics;15;ES;2;2;225;female;
testing;sortingGameUserMetrics;12;ES;8;2;38;female;2
Pedjooooooooooooooo;sortingGameUserMetrics;12;ES;8;2;38;female;2
2df5f614-eaad-4bbc-9929-a40b4d1a4ff0;sortingGameUserMetrics;34;IT;5;5;675;female;
0b473be6-fd35-4e59-a206-0e187f040347;sortingGameUserMetrics;12;ES;8;2;38;female;2
95af594a-940c-44ce-95c5-7f118244f061;sortingGameUserMetrics;unspecified;ES;;;;female;
9af28f2b-012c-4594-aabf-cba0158a944e;sortingGameUserMetrics;unspecified;ES;;;;unspecified;
19ed51d4-a0e5-4791-b8cf-aae0eac18571;sortingGameUserMetrics;unspecified;PT;;;;unspecified;
05e0f5c5-00a2-4132-b4f0-c49793db0101;sortingGameUserMetrics;unspecified;PT;1;1;130;unspecified;
28ae5fd1-3ec2-4554-b464-a388e8df6100;sortingGameUserMetrics;43;PT;2;2;258;male;
a2a8f4bd-fda6-4e62-88f3-4f2d5a65ca2e;sortingGameUserMetrics;60;IT;1;1;88;male;
82790fdf-5f53-46d3-a6e4-66e7af2e284a;sortingGameUserMetrics;unspecified;ES;;;;unspecified;
