id;type;Q_PreAndPost_ChangeHabits;Q_PreAndPost_SustainableWasteImportance;Q_PreAndReplay_RateHabits;Q_Replay_ChangeHabits;Q_Post_Enjoyment;Q_Post_Learning;Q_Post_Recommend;question1Pre;question2Pre;question3Pre;question4Pre;question5Pre;question6Pre;question7Pre
0219416c-86c6-4329-a82d-dbca8b16cc63;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
1a65328a-1c60-4ba5-adca-ef7550a70585;sortingGameUserQuestionnaire;5;5;3;;;;;;;;;;;
3a8777f0-22c5-44a6-82c8-666e675eb7de;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
14966f50-4e74-400d-a069-8f793cbdf190;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
43795247-6bfc-4485-8db8-a5d2e866525e;sortingGameUserQuestionnaire;1;1;1;;;;;;;;;;;
195f45de-7289-46ba-bfc3-4afc76e5ee82;sortingGameUserQuestionnaire;6;6;5;6;;;;;;;;;;
a5c3261a-5306-4a45-8d81-fcb8d18b842e;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
d57a0254-6dfb-4fd6-b229-9834ed273173;sortingGameUserQuestionnaire;4;6;5;;;;;;;;;;;
43c1acfc-8faf-46d7-a77d-ecc1620e3e1b;sortingGameUserQuestionnaire;4;6;4;;;;;;;;;;;
e5e46f91-f09b-4390-96e0-3848c4dcb96b;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
9459de5e-abbe-4ca6-a2db-3fc11dbe2b7b;sortingGameUserQuestionnaire;5;6;5;;;;;;;;;;;
69a97718-7ad4-486d-81c6-f99c2c71999c;sortingGameUserQuestionnaire;4;6;4;5;;;;;;;;;;
06c6ffaf-3796-44cb-9a7d-cc62ed66f561;sortingGameUserQuestionnaire;5;3;4;;;;;;;;;;;
c40d5cc1-2b1d-4071-bd8d-4656d6fa5598;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
bb9b86ec-143b-4333-a319-c68cfe94dc34;sortingGameUserQuestionnaire;2;5;1;1;;;;;;;;;;
5308858d-5e17-4ae3-8661-b269c1005e0b;sortingGameUserQuestionnaire;;;1;1;;;;;;;;;;
3f4ea64b-8fe7-4c2c-b3d8-35c635ddecff;sortingGameUserQuestionnaire;;;6;6;;;;;;;;;;
718bf248-e745-44a8-a3ea-cb1eb8d78209;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
81980ee6-e058-4dad-877a-66f5839d550b;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
2cbd2cbd-7a5c-4eb4-bb1e-f11b254530db;sortingGameUserQuestionnaire;1;6;6;;;;;;;;;;;
c8bada0d-70d4-4eb2-9111-0cdd75e0d94c;sortingGameUserQuestionnaire;4;4;4;;;;;;;;;;;
0d144011-ef1a-470b-b0f5-8367408d2edd;sortingGameUserQuestionnaire;5;6;5;;;;;;;;;;;
9888f5b2-3744-4909-aea2-d11bd89fdb9b;sortingGameUserQuestionnaire;3;3;3;;;;;;;;;;;
537f4315-964c-444c-adbb-bc7b92af6038;sortingGameUserQuestionnaire;5;6;4;;;;;;;;;;;
55543f21-ddcb-422c-958b-e65a9366c580;sortingGameUserQuestionnaire;3;6;3;;;;;;;;;;;
f048cd5d-7be5-4bb3-9319-2a18c01f4459;sortingGameUserQuestionnaire;5;5;5;;;;;;;;;;;
36a58011-a9f8-4bed-8fc3-feff62695f2e;sortingGameUserQuestionnaire;3;6;3;;;;;;;;;;;
d2d5659e-24da-49bc-9280-4ffc7526cda5;sortingGameUserQuestionnaire;6;5;5;;;;;;;;;;;
2c61bb61-0b77-45f4-a33f-6145fa7d7b80;sortingGameUserQuestionnaire;4;6;4;;;;;;;;;;;
f414aab4-db14-48bd-a961-1780b2ea3b65;sortingGameUserQuestionnaire;6;6;5;;6;6;6;;;;;;;
6e408c6b-cf56-4be0-8170-ace9aebef74a;sortingGameUserQuestionnaire;6;6;5;;;;;;;;;;;
803e4206-93bc-480b-8747-e22199891050;sortingGameUserQuestionnaire;4;6;4;;;;;;;;;;;
6a7a686f-61d1-426f-80de-14b67162f9d9;sortingGameUserQuestionnaire;5;6;5;;;;;;;;;;;
4bdf0d48-d775-42b1-98f7-84f70b0a6b3a;sortingGameUserQuestionnaire;3;6;6;;;;;;;;;;;
cc59c089-ae02-45e1-b2eb-edf59eafaf45;sortingGameUserQuestionnaire;5;6;6;;;;;;;;;;;
3cf7bb1c-a41d-4ac6-9f40-bbede240a5af;sortingGameUserQuestionnaire;3;5;4;;;;;;;;;;;
442219fe-100c-491a-bc9b-7e006f66ace1;sortingGameUserQuestionnaire;;;5;3;;;;;;;;;;
2df5f614-eaad-4bbc-9929-a40b4d1a4ff0;sortingGameUserQuestionnaire;5;6;5;;;;;;;;;;;
742b0cb2-8450-413a-8dc7-97de2e4dfe0d;sortingGameUserQuestionnaire;5;2;2;;;;;;;;;;;
95af594a-940c-44ce-95c5-7f118244f061;sortingGameUserQuestionnaire;5;6;6;;;;;;;;;;;
9af28f2b-012c-4594-aabf-cba0158a944e;sortingGameUserQuestionnaire;2;3;4;;;;;;;;;;;
19ed51d4-a0e5-4791-b8cf-aae0eac18571;sortingGameUserQuestionnaire;2;2;5;;;;;;;;;;;
05e0f5c5-00a2-4132-b4f0-c49793db0101;sortingGameUserQuestionnaire;3;3;5;;;;;;;;;;;
28ae5fd1-3ec2-4554-b464-a388e8df6100;sortingGameUserQuestionnaire;2;5;4;;;;;;;;;;;
a2a8f4bd-fda6-4e62-88f3-4f2d5a65ca2e;sortingGameUserQuestionnaire;4;6;5;;;;;;;;;;;
82790fdf-5f53-46d3-a6e4-66e7af2e284a;sortingGameUserQuestionnaire;3;5;6;;;;;;;;;;;
86ee4193-5dfe-400d-b980-97f00a017451;sortingGameUserQuestionnaire;6;3;6;;;;;;;;;;;
16bca13a-e070-4c5b-89f1-f7f8e1627580;sortingGameUserQuestionnaire;1;6;6;;;;;;;;;;;
26c6454c-08e8-48b3-84ed-1e53fb67c376;sortingGameUserQuestionnaire;2;2;2;;;;;;;;;;;
79b87cd7-1fd9-47d5-96dc-f19987056f58;sortingGameUserQuestionnaire;5;6;5;;;;;;;;;;;
7fb3a168-3966-473e-92a0-05fc9f5430e7;sortingGameUserQuestionnaire;4;4;5;;;;;;;;;;;
3472ddc7-697c-46d4-8eaa-94c8d5244bf2;sortingGameUserQuestionnaire;3;3;5;;;;;;;;;;;
9dfb2d53-be1b-4507-b0b7-76de025c57e1;sortingGameUserQuestionnaire;2;2;2;;;;;;;;;;;
8ec95dfd-9329-4654-8bd9-7dcdbf14e32a;sortingGameUserQuestionnaire;1;4;5;;;;;;;;;;;
aeec07af-d65f-40a1-b047-3e5e6ee70541;sortingGameUserQuestionnaire;2;4;5;;;;;;;;;;;
43f77d42-c332-4c87-8e9e-d82f5753cc1f;sortingGameUserQuestionnaire;6;6;4;;;;;;;;;;;
32be4d64-43ab-4741-adbc-a15ec87593fc;sortingGameUserQuestionnaire;2;6;4;;;;;;;;;;;
24e2533a-4480-4f60-b8a4-270931151865;sortingGameUserQuestionnaire;5;4;4;;;;;;;;;;;
20566289-24c6-404e-a568-c53fae84716f;sortingGameUserQuestionnaire;5;5;5;;;;;;;;;;;
9c9f360e-95ea-429e-9747-0b9273e923fe;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
