Id;Vehiculo;Fecha;Tag;Tipo Residuo;Tipo Contenedor;Frecuencia RSU;Municipio;Poligono;Ruta;Peso;refSortingType
43354;7501JXG;30/06/2018 07:25:00;F0B163;Papel-Cartón;Cl pc 3200;3;ZAMUDIO;UGALDEGUREN III;6;8,00;SortingType:7
43353;7501JXG;30/06/2018 07:21:59;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;6;24,00;
43352;7501JXG;30/06/2018 07:21:00;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;6;18,00;
43329;7501JXG;30/06/2018 06:15:00;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;6;10,00;
43314;7501JXG;30/06/2018 05:48:00;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;6;70,00;
43313;7501JXG;30/06/2018 05:42:59;F087B6;Papel-Cartón;Cl pc 3200;2;ZAMUDIO;SIN ASIGNAR;6;14,00;SortingType:7
43312;7501JXG;30/06/2018 05:41:00;F0B86C;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;SIN ASIGNAR;6;18,00;SortingType:7
43311;7501JXG;30/06/2018 05:39:59;F0C2B4;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;SIN ASIGNAR;6;116,00;SortingType:7
43310;7501JXG;30/06/2018 05:35:59;F0929A;Papel-Cartón;Cl pc 3200;3;ZAMUDIO;SIN ASIGNAR;6;10,00;SortingType:7
43307;7501JXG;29/06/2018 16:27:59;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;18;54,00;
43300;7501JXG;29/06/2018 16:18:00;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;18;60,00;
43251;7501JXG;29/06/2018 13:18:59;F0B86C;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;SIN ASIGNAR;18;12,00;SortingType:7
