Id;Vehiculo;Fecha;Tag;Tipo Residuo;Tipo Contenedor;Frecuencia RSU;Municipio;Poligono;Ruta;Peso;refSortingType
102830;1541CLM;27/12/2018 09:13:00;F0A6D7;Fracción Resto;Ct fr 800;2;ZAMUDIO;PARQUE TECNOLOGICO;13;14,00;SortingType:1
102828;1541CLM;27/12/2018 09:11:59;F08CB3;Fracción Resto;Ct fr 1100;2;ZAMUDIO;PARQUE TECNOLOGICO;13;30,00;SortingType:1
102827;1541CLM;27/12/2018 09:11:00;F0BE85;Fracción Resto;Ct fr 800;5;ZAMUDIO;PARQUE TECNOLOGICO;13;0,00;SortingType:1
102825;1541CLM;27/12/2018 09:08:00;F0CAEC;Fracción Resto;Ct fr 800;5;ZAMUDIO;PARQUE TECNOLOGICO;13;10,00;SortingType:1
102826;1541CLM;27/12/2018 09:08:00;F08823;Fracción Resto;Ct fr 800;5;ZAMUDIO;PARQUE TECNOLOGICO;13;38,00;SortingType:1
101724;2618JYP;27/12/2018 09:04:59;B55062;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN III;23;114,00;SortingType:1
102824;1541CLM;27/12/2018 09:04:00;F0C9F7;Fracción Resto;Ct fr 800;2;ZAMUDIO;PARQUE TECNOLOGICO;13;18,00;SortingType:1
102823;1541CLM;27/12/2018 09:02:00;F07F78;Fracción Resto;Ct fr 800;5;ZAMUDIO;PARQUE TECNOLOGICO;13;10,00;SortingType:1
102822;1541CLM;27/12/2018 08:59:00;F08FE4;Fracción Resto;Ct fr 800;5;ZAMUDIO;PARQUE TECNOLOGICO;13;49,00;SortingType:1
102821;1541CLM;27/12/2018 08:55:00;F0C8D2;Fracción Resto;Ct fr 800;2;ZAMUDIO;SIN ASIGNAR;13;44,00;SortingType:1
102820;1541CLM;27/12/2018 08:51:59;F08241;Fracción Resto;Ct fr 800;6;ZAMUDIO;SIN ASIGNAR;13;47,00;SortingType:1
102819;1541CLM;27/12/2018 08:51:59;F08241;Fracción Resto;Ct fr 800;6;ZAMUDIO;SIN ASIGNAR;13;140,90;SortingType:1
102818;1541CLM;27/12/2018 08:51:00;F0CB40;Fracción Resto;Ct fr 800;6;ZAMUDIO;SIN ASIGNAR;13;41,90;SortingType:1
102817;1541CLM;27/12/2018 08:51:00;F0CB40;Fracción Resto;Ct fr 800;6;ZAMUDIO;SIN ASIGNAR;13;0,00;SortingType:1
102816;1541CLM;27/12/2018 08:48:00;F0C170;Fracción Resto;Ct fr 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;13;173,00;SortingType:1
102815;1541CLM;27/12/2018 08:46:00;B57D33;Fracción Resto;Ct fr 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;13;0,00;
