;Vehiculo;Fecha;Tag;Frecuencia RSU;Ruta;Peso;refSortingType
49;1541CLM;15/11/2018 08:32:59;F07C37;5;16;49;SortingType:10
50;1541CLM;15/11/2018 08:12:59;F0C108;5;16;40;SortingType:10
51;1541CLM;14/11/2018 08:23:59;F07C37;5;15;56;SortingType:10
52;1541CLM;14/11/2018 08:01:00;F0C108;5;15;16;SortingType:10
53;1541CLM;13/11/2018 08:21:00;F0C108;5;14;19;SortingType:10
54;1541CLM;31/10/2018 08:17:59;F07C37;5;15;20;SortingType:10
55;1541CLM;31/10/2018 07:57:00;F0C108;5;15;41;SortingType:10
56;1541CLM;30/10/2018 08:37:00;F07C37;5;14;29;SortingType:10
57;1541CLM;30/10/2018 08:15:00;F0C108;5;14;43;SortingType:10
58;1541CLM;29/10/2018 08:37:00;F07C37;5;13;30;SortingType:10
59;1541CLM;29/10/2018 08:15:59;F0C108;5;13;45;SortingType:10
60;2618JYP;26/10/2018 08:03:59;ZAMUO;4;24;7;SortingType:10
61;1541CLM;26/10/2018 07:16:00;F07C37;5;17;83;SortingType:10
62;1541CLM;26/10/2018 06:53:59;F0C108;5;17;27;SortingType:10
63;1541CLM;25/10/2018 07:38:59;F07C37;5;16;38;SortingType:10
64;1541CLM;25/10/2018 07:18:00;F0C108;5;16;58;SortingType:10
65;1541CLM;23/10/2018 07:00:59;F07C37;5;14;71;SortingType:10
66;1541CLM;23/10/2018 06:42:59;F0C108;5;14;7;SortingType:10
67;1541CLM;22/10/2018 07:21:00;F07C37;5;13;69;SortingType:10
68;1541CLM;22/10/2018 06:58:00;F0C108;5;13;52;SortingType:10
69;2618JYP;19/10/2018 08:08:59;ZAMUO;4;24;23;SortingType:10
70;1541CLM;19/10/2018 07:12:59;F07C37;5;17;5;SortingType:10
71;1541CLM;19/10/2018 06:51:00;F0C108;5;17;71;SortingType:10
72;2618JYP;28/09/2018 08:05:00;ZAMUO;4;24;31;SortingType:10
73;2618JYP;21/09/2018 08:12:00;ZAMUO;4;24;16;SortingType:10
74;2618JYP;14/09/2018 10:45:59;ZAMIO;2;24;148;SortingType:10
75;1541CLM;27/07/2018 07:11:00;F07C37;5;17;19;SortingType:10
76;1541CLM;27/07/2018 06:42:00;F0C108;5;17;44;SortingType:10
77;1541CLM;26/07/2018 07:36:00;F07C37;5;16;16;SortingType:10
78;1541CLM;26/07/2018 07:12:00;F0C108;5;16;51;SortingType:10
79;1541CLM;25/07/2018 06:53:59;F0C108;5;15;26;SortingType:10
80;1541CLM;24/07/2018 07:11:00;F07C37;5;14;41;SortingType:10
81;1541CLM;24/07/2018 06:49:00;F0C108;5;14;35;SortingType:10
82;1541CLM;23/07/2018 07:27:00;F07C37;5;13;136;SortingType:10
