;Vehiculo;Fecha;Tag;Frecuencia RSU;Ruta;Peso;refSortingType
150;2618JYP;27/12/2018 07:09:00;B5447D;2;23;4;SortingType:1
151;2618JYP;27/12/2018 07:07:59;B54AB4;2;23;17;SortingType:1
152;2618JYP;27/12/2018 07:05:59;B579E2;2;23;23;SortingType:1
153;2618JYP;27/12/2018 07:05:59;ZAMIR;2;23;0;SortingType:1
154;2618JYP;27/12/2018 07:02:59;B57634;2;23;61;SortingType:1
155;2618JYP;27/12/2018 07:00:59;B57E32;2;23;131;SortingType:1
156;2618JYP;27/12/2018 06:58:00;B551E3;2;23;1079;SortingType:1
157;2618JYP;27/12/2018 06:51:59;B59081;2;23;27;SortingType:1
158;2618JYP;27/12/2018 06:40:59;8EC253;2;23;75;SortingType:1
159;2618JYP;27/12/2018 06:40:00;8EFFC0;2;23;17;SortingType:1
160;2618JYP;27/12/2018 06:36:00;B54D73;2;23;83;SortingType:1
161;2618JYP;27/12/2018 06:33:59;B54E25;2;23;12;SortingType:1
162;2618JYP;27/12/2018 06:33:00;B590A1;2;23;9;SortingType:1
163;2618JYP;27/12/2018 06:29:00;B57E4E;2;23;14;SortingType:1
164;2618JYP;27/12/2018 06:27:59;B590C0;2;23;92.9;SortingType:1
165;2618JYP;27/12/2018 06:22:59;8EC5B1;2;23;29;SortingType:1
166;2618JYP;27/12/2018 06:20:59;B58E86;2;23;1;SortingType:1
167;1541CLM;26/12/2018 10:54:59;B54FF2;2;13;50;SortingType:1
168;1541CLM;26/12/2018 10:54:59;B54233;2;13;3;SortingType:1
169;1541CLM;26/12/2018 10:50:59;B541E8;2;13;22;SortingType:1
170;1541CLM;26/12/2018 10:23:00;ZAMIR;2;13;34;SortingType:1
171;1541CLM;26/12/2018 10:18:00;8EC5CA;2;13;35;SortingType:1
172;1541CLM;26/12/2018 10:16:59;8EDC00;2;13;45;SortingType:1
173;1541CLM;26/12/2018 10:14:59;8BB92C;2;13;23;SortingType:1
174;1541CLM;26/12/2018 10:14:00;B54C9D;2;13;3;SortingType:1
175;1541CLM;26/12/2018 09:56:00;8BBDF6;2;13;62;SortingType:1
176;1541CLM;26/12/2018 09:53:00;8EDDE1;2;13;15;SortingType:1
177;1541CLM;26/12/2018 09:49:59;8EFA68;1;13;39;SortingType:1
178;1541CLM;26/12/2018 09:47:59;B578F9;2;13;27;SortingType:1
179;1541CLM;26/12/2018 09:47:00;ZAMIR;2;13;7;SortingType:1
180;1541CLM;26/12/2018 09:42:59;ZAMUR;4;13;67;SortingType:2
181;1541CLM;26/12/2018 09:38:00;F08AC2;5;13;35;SortingType:1
182;1541CLM;26/12/2018 09:11:00;F08823;5;13;27;SortingType:1
183;1541CLM;26/12/2018 09:04:00;ZAMUR;4;13;34;SortingType:2
184;1541CLM;26/12/2018 09:02:00;F07A8E;2;13;11;SortingType:1
185;1541CLM;26/12/2018 09:02:00;F0C8D2;2;13;50;SortingType:1
186;1541CLM;26/12/2018 09:00:00;F08F30;6;13;21;SortingType:1
187;1541CLM;26/12/2018 09:00:00;F0A045;6;13;22;SortingType:1
188;1541CLM;26/12/2018 08:55:00;F08241;6;13;70;SortingType:1
189;1541CLM;26/12/2018 08:55:00;F0CB40;6;13;36;SortingType:1
190;1541CLM;26/12/2018 08:55:00;F08241;6;13;118;SortingType:1
191;1541CLM;26/12/2018 08:48:00;F097BA;5;13;19;SortingType:1
192;1541CLM;26/12/2018 08:44:59;F07928;5;13;16;SortingType:1
193;1541CLM;26/12/2018 08:42:00;B59654;5;13;55;SortingType:1
194;1541CLM;26/12/2018 08:39:59;F09383;5;13;6;SortingType:1
195;1541CLM;26/12/2018 08:37:59;F08680;5;13;19;SortingType:1
196;1541CLM;26/12/2018 08:37:00;F08AC3;5;13;25;SortingType:1
197;1541CLM;26/12/2018 08:37:00;F08680;5;13;73;SortingType:1
198;1541CLM;26/12/2018 08:32:00;F0B2D8;5;13;29;SortingType:1
199;1541CLM;26/12/2018 08:28:59;F0C9F1;5;13;9;SortingType:1
200;1541CLM;26/12/2018 08:26:00;F0866B;5;13;23;SortingType:1
201;1541CLM;26/12/2018 08:26:00;F094B7;5;13;22;SortingType:1
202;1541CLM;26/12/2018 08:24:59;F0B2C9;5;13;16;SortingType:1
203;1541CLM;26/12/2018 08:08:00;8BC02B;2;13;73;SortingType:1
204;1541CLM;26/12/2018 08:06:59;8EC27A;2;13;24;SortingType:1
205;1541CLM;26/12/2018 08:06:59;8BA401;2;13;37;SortingType:1
206;1541CLM;26/12/2018 08:06:00;8EFEF7;2;13;121;SortingType:1
207;1541CLM;26/12/2018 08:06:00;8BBDA7;2;13;59;SortingType:1
208;1541CLM;26/12/2018 08:06:00;8EB4B1;2;13;71;SortingType:1
209;1541CLM;26/12/2018 08:01:59;8EE0E7;2;13;59;SortingType:1
210;1541CLM;24/12/2018 12:17:59;B57718;2;13;14;SortingType:1
211;1541CLM;24/12/2018 12:15:59;B54CFF;2;13;8;SortingType:1
212;1541CLM;24/12/2018 12:15:59;B54D0C;2;13;12;SortingType:1
213;1541CLM;24/12/2018 11:08:00;8EB3BF;2;13;13;SortingType:1
214;1541CLM;24/12/2018 10:47:59;8BBDF6;2;13;77;SortingType:1
215;1541CLM;24/12/2018 10:47:59;8BACE6;2;13;21;SortingType:1
216;1541CLM;24/12/2018 10:45:00;8EDDE1;2;13;130;SortingType:1
217;1541CLM;24/12/2018 10:43:59;8BBCBC;2;13;1;SortingType:1
218;1541CLM;24/12/2018 10:41:59;8EFA68;1;13;70;SortingType:1
219;1541CLM;24/12/2018 10:36:59;B57A17;2;13;47;SortingType:1
220;1541CLM;24/12/2018 10:34:59;F08AC2;5;13;30;SortingType:1
221;1541CLM;24/12/2018 09:58:59;F0BD35;5;13;36;SortingType:1
222;1541CLM;24/12/2018 09:58:59;8BA40E;5;13;28;SortingType:1
223;1541CLM;24/12/2018 09:54:59;F08544;2;13;49;SortingType:1
224;1541CLM;24/12/2018 09:54:59;F0A6D7;2;13;26;SortingType:1
225;1541CLM;24/12/2018 09:53:59;F08CB3;2;13;42;SortingType:1
226;1541CLM;24/12/2018 09:51:59;F0BE85;5;13;42;SortingType:1
227;1541CLM;24/12/2018 09:49:59;F08823;5;13;37;SortingType:1
228;1541CLM;24/12/2018 09:49:00;F0CAEC;5;13;27;SortingType:1
229;1541CLM;24/12/2018 09:45:00;F0C9F7;2;13;63;SortingType:1
230;1541CLM;24/12/2018 09:40:00;F07A49;5;13;10;SortingType:1
231;1541CLM;24/12/2018 09:38:59;F07F78;5;13;9;SortingType:1
232;1541CLM;24/12/2018 09:36:00;F08FE4;5;13;21;SortingType:1
233;1541CLM;24/12/2018 09:33:59;ZAMUR;4;13;22;SortingType:2
234;1541CLM;24/12/2018 09:31:59;F0C8D2;2;13;67;SortingType:1
235;1541CLM;24/12/2018 09:31:00;F07A8E;2;13;20;SortingType:1
236;1541CLM;24/12/2018 09:29:59;F08F30;6;13;33;SortingType:1
237;1541CLM;24/12/2018 09:29:00;F0A045;6;13;10;SortingType:1
238;1541CLM;24/12/2018 09:24:00;F08241;6;13;108;SortingType:1
239;1541CLM;24/12/2018 09:22:59;F0CB40;6;13;22;SortingType:1
240;1541CLM;24/12/2018 09:20:00;B57907;5;13;7;SortingType:1
241;1541CLM;24/12/2018 09:20:00;F0A762;5;13;31;SortingType:1
242;1541CLM;24/12/2018 09:18:59;F0B0B5;5;13;26;SortingType:1
243;1541CLM;24/12/2018 09:18:59;F0AD08;5;13;91;SortingType:1
244;1541CLM;24/12/2018 09:17:59;ZAMUR;4;13;70;SortingType:2
245;1541CLM;24/12/2018 09:15:59;B54203;5;13;10;SortingType:1
246;1541CLM;24/12/2018 09:15:59;B57D33;5;13;13;SortingType:1
247;1541CLM;24/12/2018 09:15:00;ZAMUR;4;13;15;SortingType:2
248;1541CLM;24/12/2018 09:11:59;F0CD2A;5;13;22;SortingType:1
249;1541CLM;24/12/2018 09:09:59;F0A811;5;13;69;SortingType:1
250;1541CLM;24/12/2018 09:09:59;F097BA;5;13;29;SortingType:1
251;1541CLM;24/12/2018 09:08:00;B550DE;5;13;22;SortingType:1
252;1541CLM;24/12/2018 09:06:59;B543BE;5;13;45;SortingType:1
253;1541CLM;24/12/2018 09:04:59;F07928;5;13;8;SortingType:1
254;1541CLM;24/12/2018 09:02:59;F08D5C;5;13;48;SortingType:1
255;1541CLM;24/12/2018 09:00:59;B59654;5;13;25;SortingType:1
256;1541CLM;24/12/2018 08:57:00;F09383;5;13;41;SortingType:1
257;1541CLM;24/12/2018 08:53:59;F08680;5;13;124;SortingType:1
258;1541CLM;24/12/2018 08:53:00;F08AC3;5;13;80;SortingType:1
259;1541CLM;24/12/2018 08:50:00;F0867A;5;13;4;SortingType:1
260;1541CLM;24/12/2018 08:48:00;F090C2;5;13;5;SortingType:1
261;7501JXG;24/12/2018 05:33:59;F08148;5;7;86;SortingType:2
262;7501JXG;24/12/2018 05:32:59;F07E70;5;7;430;SortingType:2
263;7501JXG;24/12/2018 05:32:00;F091F6;5;7;26;SortingType:2
264;7501JXG;24/12/2018 05:24:59;ZAMIR;2;7;510;SortingType:1
265;7501JXG;21/12/2018 13:29:00;F0958E;5;24;76;SortingType:2
266;7501JXG;21/12/2018 13:27:59;F08359;5;24;156;SortingType:2
267;7501JXG;21/12/2018 13:25:59;F08245;5;24;232;SortingType:2
268;7501JXG;21/12/2018 13:25:00;F0AF5F;5;24;92;SortingType:2
269;7501JXG;21/12/2018 13:23:59;F0CBD7;5;24;50;SortingType:2
270;7501JXG;21/12/2018 13:23:59;F0CE51;5;24;104;SortingType:2
271;7501JXG;21/12/2018 13:23:00;F0BBC3;5;24;240;SortingType:2
272;7501JXG;21/12/2018 13:21:00;F0C115;5;24;76;SortingType:2
273;7501JXG;21/12/2018 13:18:59;F09FAB;6;24;40;SortingType:2
274;7501JXG;21/12/2018 13:18:00;F08A29;6;24;96;SortingType:2
275;7501JXG;21/12/2018 13:16:59;F084B1;6;24;52;SortingType:2
276;7501JXG;21/12/2018 13:16:00;F0CF85;5;24;244;SortingType:2
277;7501JXG;21/12/2018 13:14:59;F0BDB2;5;24;224;SortingType:2
278;7501JXG;21/12/2018 13:12:59;F0BB15;5;24;244;SortingType:2
279;7501JXG;21/12/2018 13:12:00;F09AA3;5;24;216;SortingType:2
280;7501JXG;21/12/2018 13:11:00;F0AD36;5;24;132;SortingType:2
281;7501JXG;21/12/2018 13:07:59;F0C5C1;2;24;166;SortingType:2
282;2618JYP;21/12/2018 12:29:59;B56D76;2;25;140;SortingType:1
283;2618JYP;21/12/2018 12:29:00;B54212;2;25;65;SortingType:1
284;2618JYP;21/12/2018 12:29:00;B54194;2;25;85;SortingType:1
285;2618JYP;21/12/2018 12:08:59;B54BA2;2;25;36;SortingType:1
286;2618JYP;21/12/2018 12:08:59;B550BD;2;25;29;SortingType:1
287;2618JYP;21/12/2018 12:08:00;B55051;2;25;16;SortingType:1
288;2618JYP;21/12/2018 12:06:59;B54432;2;25;136;SortingType:1
289;2618JYP;21/12/2018 12:04:59;B549F3;2;25;39;SortingType:1
290;2618JYP;21/12/2018 12:04:00;8F018D;2;25;43;SortingType:1
291;2618JYP;21/12/2018 12:02:00;8EC2EE;2;25;38;SortingType:1
292;2618JYP;21/12/2018 12:00:59;8EC253;2;25;95;SortingType:1
293;2618JYP;21/12/2018 12:00:59;8EFFC0;2;25;14;SortingType:1
294;2618JYP;21/12/2018 11:51:00;B59081;2;25;19;SortingType:1
295;1541CLM;21/12/2018 11:50:00;F080F4;2;17;138;SortingType:1
296;1541CLM;21/12/2018 11:46:00;B550BE;2;17;34;SortingType:1
297;1541CLM;21/12/2018 11:44:59;B5425C;2;17;24;SortingType:1
298;1541CLM;21/12/2018 11:44:00;ZAMIR;2;17;35;SortingType:1
299;1541CLM;21/12/2018 11:42:00;B54E2F;2;17;33;SortingType:1
300;1541CLM;21/12/2018 11:42:00;ZAMIR;2;17;25;SortingType:1
301;1541CLM;21/12/2018 11:41:00;B549D1;2;17;66;SortingType:1
302;1541CLM;21/12/2018 11:41:00;B58E33;2;17;33;SortingType:1
303;1541CLM;21/12/2018 11:39:00;B541FD;2;17;56;SortingType:1
304;1541CLM;21/12/2018 11:37:59;B54237;2;17;6;SortingType:1
305;1541CLM;21/12/2018 11:37:59;B54332;2;17;17;SortingType:1
306;1541CLM;21/12/2018 11:37:59;B54237;2;17;52;SortingType:1
307;1541CLM;21/12/2018 11:37:00;B54332;2;17;18;SortingType:1
308;1541CLM;21/12/2018 11:35:00;B5424F;2;17;20;SortingType:1
309;1541CLM;21/12/2018 11:35:00;ZAMIR;2;17;68;SortingType:1
310;1541CLM;21/12/2018 11:30:00;8BA35E;2;17;50;SortingType:1
311;1541CLM;21/12/2018 11:28:59;8EF64F;2;17;30;SortingType:1
312;1541CLM;21/12/2018 11:26:59;8BAB15;2;17;29;SortingType:1
313;1541CLM;21/12/2018 11:26:00;8EC5A1;2;17;43;SortingType:1
314;1541CLM;21/12/2018 11:24:59;8F0129;2;17;68;SortingType:1
315;1541CLM;21/12/2018 11:24:59;8F07D0;2;17;35;SortingType:1
316;1541CLM;21/12/2018 11:23:59;8BA631;2;17;34;SortingType:1
317;1541CLM;21/12/2018 11:23:00;8EFB1C;2;17;9;SortingType:1
318;1541CLM;21/12/2018 11:21:00;8EE9C1;2;17;12;SortingType:1
319;1541CLM;21/12/2018 11:15:00;8BA52E;2;17;75;SortingType:1
320;1541CLM;21/12/2018 11:12:59;8EE570;2;17;87;SortingType:1
321;1541CLM;21/12/2018 11:12:00;8EFA10;2;17;27;SortingType:1
322;1541CLM;21/12/2018 11:10:59;8EE0E7;2;17;55;SortingType:1
323;1541CLM;21/12/2018 11:08:59;ZAMIR;2;17;15;SortingType:1
324;1541CLM;21/12/2018 11:08:00;8F06AC;2;17;21;SortingType:1
325;1541CLM;21/12/2018 11:08:00;8BAA87;2;17;30;SortingType:1
326;1541CLM;21/12/2018 11:06:59;8BA800;2;17;48;SortingType:1
327;1541CLM;21/12/2018 11:06:00;8EDFEE;2;17;37;SortingType:1
328;1541CLM;21/12/2018 11:05:00;8EE4B3;2;17;31;SortingType:1
329;1541CLM;21/12/2018 11:03:59;8EF71D;2;17;34;SortingType:1
330;1541CLM;21/12/2018 11:03:00;8EDCB5;2;17;14;SortingType:1
331;1541CLM;21/12/2018 11:01:59;8EE478;2;17;25;SortingType:1
332;1541CLM;21/12/2018 11:01:59;8BA2FC;2;17;12;SortingType:1
333;1541CLM;21/12/2018 10:59:59;ZAMIR;2;17;23;SortingType:1
334;1541CLM;21/12/2018 10:59:00;8B599C;2;17;20;SortingType:1
335;1541CLM;21/12/2018 10:59:00;ZAMIR;2;17;28;SortingType:1
336;1541CLM;21/12/2018 10:57:59;8BC3F2;2;17;7;SortingType:1
337;1541CLM;21/12/2018 10:57:00;8BBB12;2;17;25;SortingType:1
338;1541CLM;21/12/2018 10:56:00;8BBDBD;2;17;21;SortingType:1
339;1541CLM;21/12/2018 10:54:59;ZAMIR;2;17;9;SortingType:1
340;1541CLM;21/12/2018 10:54:00;8EFF0F;2;17;48;SortingType:1
341;1541CLM;21/12/2018 10:54:00;8EE18A;2;17;28;SortingType:1
342;1541CLM;21/12/2018 10:54:00;8B9C04;2;17;52;SortingType:1
343;1541CLM;21/12/2018 10:52:59;8EC373;2;17;75;SortingType:1
344;1541CLM;21/12/2018 10:52:59;8BA825;2;17;30;SortingType:1
