;Vehiculo;Fecha;Tag;Frecuencia RSU;Ruta;Peso;refSortingType
209;2618JYP;19/12/2018 08:03:59;B54CC5;2;22;17;SortingType:6
210;2618JYP;19/12/2018 08:03:59;B57D86;2;22;42;SortingType:6
211;2618JYP;19/12/2018 08:03:00;B5907B;2;22;41;SortingType:6
212;2618JYP;19/12/2018 07:59:59;8EFA0D;2;22;44;SortingType:6
213;1541CLM;19/12/2018 07:52:59;F0C5CA;5;15;26;SortingType:6
214;2618JYP;19/12/2018 07:47:00;B5443F;2;22;20;SortingType:6
215;2618JYP;19/12/2018 07:45:59;B57B62;2;22;87;SortingType:6
216;2618JYP;19/12/2018 07:45:00;B57661;2;22;33;SortingType:6
217;2618JYP;19/12/2018 07:43:00;B54D3F;2;22;28;SortingType:6
218;2618JYP;19/12/2018 07:41:00;B590A9;2;22;10;SortingType:6
219;2618JYP;19/12/2018 07:39:59;B543F6;2;22;4;SortingType:6
220;2618JYP;19/12/2018 07:38:59;B57C89;2;22;15;SortingType:6
221;2618JYP;19/12/2018 07:38:00;ZAMIP;2;22;30;SortingType:6
222;2618JYP;19/12/2018 07:36:00;B5514C;2;22;7;SortingType:6
223;2618JYP;19/12/2018 07:34:59;B55014;2;22;38;SortingType:6
224;2618JYP;19/12/2018 07:27:59;B57B08;2;22;3;SortingType:6
225;2618JYP;19/12/2018 07:27:00;B550E1;2;22;14;SortingType:6
226;2618JYP;19/12/2018 07:25:00;B55058;2;22;16;SortingType:6
227;2618JYP;19/12/2018 07:23:00;B55006;2;22;29;SortingType:6
228;2618JYP;19/12/2018 07:21:00;B5772B;2;22;62;SortingType:6
229;2618JYP;19/12/2018 07:18:59;B54D72;2;22;38;SortingType:6
230;2618JYP;19/12/2018 07:12:59;8EE598;2;22;30;SortingType:6
231;2618JYP;19/12/2018 07:09:59;8EF462;2;22;48;SortingType:6
232;2618JYP;19/12/2018 07:09:00;8BA2E5;2;22;47;SortingType:6
233;2618JYP;19/12/2018 07:07:00;8BBB33;2;22;5;SortingType:6
234;2618JYP;19/12/2018 07:05:00;8EC5C3;2;22;60;SortingType:6
235;2618JYP;19/12/2018 07:03:59;8BA38D;2;22;20;SortingType:6
236;2618JYP;19/12/2018 07:03:59;8EC348;2;22;35;SortingType:6
237;2618JYP;19/12/2018 07:02:59;8EB3CD;2;22;44;SortingType:6
238;2618JYP;19/12/2018 07:00:00;B54B2A;2;22;31;SortingType:6
239;2618JYP;19/12/2018 06:53:59;ZAMIP;2;22;13;SortingType:6
240;2618JYP;19/12/2018 06:47:59;8BA4D7;2;22;21;SortingType:6
241;2618JYP;19/12/2018 06:47:00;8BC6B9;2;22;145;SortingType:6
242;2618JYP;18/12/2018 12:58:59;B57902;2;20;76;SortingType:6
243;2618JYP;18/12/2018 12:36:00;ZAMUP;4;20;181;SortingType:7
244;7501JXG;18/12/2018 11:46:59;F0815F;3;2;18;SortingType:7
245;7501JXG;18/12/2018 11:44:00;F0A0EE;2;2;50;SortingType:7
246;7501JXG;18/12/2018 11:42:00;F094E9;5;2;36;SortingType:7
247;7501JXG;18/12/2018 11:39:59;F0A402;5;2;58;SortingType:7
248;7501JXG;18/12/2018 11:37:00;F0AA46;5;2;94;SortingType:7
249;7501JXG;18/12/2018 11:26:00;F0C8DC;6;2;70;SortingType:7
250;7501JXG;18/12/2018 11:23:59;F0986F;6;2;52;SortingType:7
251;7501JXG;18/12/2018 11:21:59;F0BD14;5;2;66;SortingType:7
252;7501JXG;18/12/2018 11:19:59;F0C215;5;2;62;SortingType:7
253;7501JXG;18/12/2018 11:15:59;F0BDAF;5;2;56;SortingType:7
254;7501JXG;18/12/2018 11:15:00;F093FE;5;2;68;SortingType:7
255;7501JXG;18/12/2018 11:10:59;F08144;5;2;66;SortingType:7
256;7501JXG;18/12/2018 11:10:00;F0B5A8;5;2;30;SortingType:7
257;7501JXG;18/12/2018 11:08:00;F0CEEB;6;2;40;SortingType:7
258;7501JXG;18/12/2018 11:06:00;F088B9;5;2;22;SortingType:7
